,雲取山,酉谷山・雲取山,小雲取山,雲取山荘,鷹ノ巣山,御岳山・大岳山,大岳山,御前山,三頭山,川苔山・本仁田山
雲取山,1.0000000000000002,0.9479024345489232,0.9700405260876577,0.9583819142355694,0.9114080159467235,0.902801920953079,0.9108262225948386,0.916423762731631,0.8931295987591057,0.8834384407298146
酉谷山・雲取山,0.9479024345489232,1.0000000000000007,0.927429188515019,0.916933375495053,0.8971891946500874,0.9208032431921703,0.8861998464470656,0.8910543674538279,0.8820557945794084,0.9101898693503359
小雲取山,0.9700405260876577,0.927429188515019,0.9999999999999991,0.9373339280848646,0.9075628132599902,0.8933663592744547,0.9007129160636931,0.9089485746985394,0.8899746127714813,0.8853432524847051
雲取山荘,0.9583819142355694,0.916933375495053,0.9373339280848646,1.0000000000000004,0.8947183790078461,0.8747400163170193,0.8832165182334684,0.8982908895171556,0.8738567720108694,0.869528010627525
鷹ノ巣山,0.9114080159467235,0.8971891946500874,0.9075628132599902,0.8947183790078461,1.0,0.8872606014925318,0.8908511356034781,0.9011115100089829,0.8822847063952788,0.8798030530667076
御岳山・大岳山,0.902801920953079,0.9208032431921703,0.8933663592744547,0.8747400163170193,0.8872606014925318,1.0000000000000009,0.9500474691497911,0.9053275653197252,0.8770565006000777,0.8988661836691757
大岳山,0.9108262225948386,0.8861998464470656,0.9007129160636931,0.8832165182334684,0.8908511356034781,0.9500474691497911,1.0000000000000013,0.9077301204380399,0.8792431653576317,0.8650508827920105
御前山,0.916423762731631,0.8910543674538279,0.9089485746985394,0.8982908895171556,0.9011115100089829,0.9053275653197252,0.9077301204380399,0.9999999999999998,0.8917380682168443,0.8888403053346734
三頭山,0.8931295987591057,0.8820557945794084,0.8899746127714813,0.8738567720108694,0.8822847063952788,0.8770565006000777,0.8792431653576317,0.8917380682168443,0.9999999999999993,0.8767077074377942
川苔山・本仁田山,0.8834384407298146,0.9101898693503359,0.8853432524847051,0.869528010627525,0.8798030530667076,0.8988661836691757,0.8650508827920105,0.8888403053346734,0.8767077074377942,0.9999999999999993
