,雲取山,酉谷山・雲取山,小雲取山,雲取山荘,鷹ノ巣山,御岳山・大岳山,大岳山,"東京都西多摩郡檜原村、奥多摩町の境界、奥多摩山域にある標高1,266.5mの山。標高はさして高くないが、個性的な山容を備えた奥多摩の名峰である。日本二百名山及び花の百名山の一つに数えられる。多様な登山コースがあり、初心者から経験者まで幅広く楽しめる山である。",御前山,奥多摩湖南岸、奥多摩主脈の中心に聳える山。遠くから見た山容・姿が美しい。カタクリの自生地。田中澄江の著作「花の百名山」に春のカタクリの花の名所として取り上げられている。カラマツが黄葉する秋、山頂一帯は黄金色に染まる[2]。南の檜原村側は特に植林が多い。山頂は広いが、眺望はあまりない。対岸に石尾根が位置する。小河内ダム堰堤に、登山道のひとつ大ブナ尾根の入り口がある。道中、奥多摩湖を南東から見下ろせる。また、奥多摩都民の森（通称、体験の森）が北側斜面にある。 東京都の奥多摩山域の代表的な山の一つで、多摩百山に選ばれている。,三頭山,川苔山・本仁田山
雲取山,1.0000000000000002,0.9479024345489232,0.9700405260876577,0.9583819142355694,0.9114080159467235,0.902801920953079,0.9108262225948386,0.831219830155527,0.916423762731631,0.8373728212711806,0.8931295987591057,0.8834384407298146
酉谷山・雲取山,0.9479024345489232,1.0000000000000007,0.927429188515019,0.916933375495053,0.8971891946500874,0.9208032431921703,0.8861998464470656,0.8321263256263172,0.8910543674538279,0.8348730043904349,0.8820557945794084,0.9101898693503359
小雲取山,0.9700405260876577,0.927429188515019,0.9999999999999991,0.9373339280848646,0.9075628132599902,0.8933663592744547,0.9007129160636931,0.8281742817569094,0.9089485746985394,0.8358161526915383,0.8899746127714813,0.8853432524847051
雲取山荘,0.9583819142355694,0.916933375495053,0.9373339280848646,1.0000000000000004,0.8947183790078461,0.8747400163170193,0.8832165182334684,0.8116520028060661,0.8982908895171556,0.8205815200343816,0.8738567720108694,0.869528010627525
鷹ノ巣山,0.9114080159467235,0.8971891946500874,0.9075628132599902,0.8947183790078461,1.0,0.8872606014925318,0.8908511356034781,0.8220743921126166,0.9011115100089829,0.8357422441040793,0.8822847063952788,0.8798030530667076
御岳山・大岳山,0.902801920953079,0.9208032431921703,0.8933663592744547,0.8747400163170193,0.8872606014925318,1.0000000000000009,0.9500474691497911,0.8495117268448421,0.9053275653197252,0.8495097855056412,0.8770565006000777,0.8988661836691757
大岳山,0.9108262225948386,0.8861998464470656,0.9007129160636931,0.8832165182334684,0.8908511356034781,0.9500474691497911,1.0000000000000013,0.8263940851312517,0.9077301204380399,0.837535237037629,0.8792431653576317,0.8650508827920105
"東京都西多摩郡檜原村、奥多摩町の境界、奥多摩山域にある標高1,266.5mの山。標高はさして高くないが、個性的な山容を備えた奥多摩の名峰である。日本二百名山及び花の百名山の一つに数えられる。多様な登山コースがあり、初心者から経験者まで幅広く楽しめる山である。",0.831219830155527,0.8321263256263172,0.8281742817569094,0.8116520028060661,0.8220743921126166,0.8495117268448421,0.8263940851312517,0.9999999999999993,0.8343522294390275,0.8851795137740666,0.8020621273187024,0.8268089279310248
御前山,0.916423762731631,0.8910543674538279,0.9089485746985394,0.8982908895171556,0.9011115100089829,0.9053275653197252,0.9077301204380399,0.8343522294390275,0.9999999999999998,0.8368795168557123,0.8917380682168443,0.8888403053346734
奥多摩湖南岸、奥多摩主脈の中心に聳える山。遠くから見た山容・姿が美しい。カタクリの自生地。田中澄江の著作「花の百名山」に春のカタクリの花の名所として取り上げられている。カラマツが黄葉する秋、山頂一帯は黄金色に染まる[2]。南の檜原村側は特に植林が多い。山頂は広いが、眺望はあまりない。対岸に石尾根が位置する。小河内ダム堰堤に、登山道のひとつ大ブナ尾根の入り口がある。道中、奥多摩湖を南東から見下ろせる。また、奥多摩都民の森（通称、体験の森）が北側斜面にある。 東京都の奥多摩山域の代表的な山の一つで、多摩百山に選ばれている。,0.8373728212711806,0.8348730043904349,0.8358161526915383,0.8205815200343816,0.8357422441040793,0.8495097855056412,0.837535237037629,0.8851795137740666,0.8368795168557123,0.9999999999999993,0.8134415847838676,0.8348314367916277
三頭山,0.8931295987591057,0.8820557945794084,0.8899746127714813,0.8738567720108694,0.8822847063952788,0.8770565006000777,0.8792431653576317,0.8020621273187024,0.8917380682168443,0.8134415847838676,0.9999999999999993,0.8767077074377942
川苔山・本仁田山,0.8834384407298146,0.9101898693503359,0.8853432524847051,0.869528010627525,0.8798030530667076,0.8988661836691757,0.8650508827920105,0.8268089279310248,0.8888403053346734,0.8348314367916277,0.8767077074377942,0.9999999999999993
