1. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=30, tm_hour=10, tm_min=38, tm_sec=7, tm_wday=4, tm_yday=30, tm_isdst=0)
2. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=28, tm_hour=13, tm_min=7, tm_sec=23, tm_wday=2, tm_yday=28, tm_isdst=0)
3. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=26, tm_hour=1, tm_min=38, tm_sec=12, tm_wday=0, tm_yday=26, tm_isdst=0)
4. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=25, tm_hour=4, tm_min=56, tm_sec=36, tm_wday=6, tm_yday=25, tm_isdst=0)
5. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=24, tm_hour=6, tm_min=7, tm_sec=47, tm_wday=5, tm_yday=24, tm_isdst=0)
6. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=21, tm_hour=3, tm_min=50, tm_sec=45, tm_wday=2, tm_yday=21, tm_isdst=0)
7. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=21, tm_hour=2, tm_min=5, tm_sec=24, tm_wday=2, tm_yday=21, tm_isdst=0)
8. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=3, tm_hour=8, tm_min=16, tm_sec=42, tm_wday=5, tm_yday=3, tm_isdst=0)
9. time.struct_time(tm_year=2025, tm_mon=12, tm_mday=23, tm_hour=20, tm_min=14, tm_sec=21, tm_wday=1, tm_yday=357, tm_isdst=0)
10. time.struct_time(tm_year=2025, tm_mon=12, tm_mday=22, tm_hour=3, tm_min=8, tm_sec=33, tm_wday=0, tm_yday=356, tm_isdst=0)
1. time.struct_time(tm_year=2026, tm_mon=2, tm_mday=4, tm_hour=5, tm_min=1, tm_sec=0, tm_wday=2, tm_yday=35, tm_isdst=0)
2. time.struct_time(tm_year=2026, tm_mon=2, tm_mday=2, tm_hour=5, tm_min=12, tm_sec=0, tm_wday=0, tm_yday=33, tm_isdst=0)
3. time.struct_time(tm_year=2026, tm_mon=2, tm_mday=2, tm_hour=5, tm_min=12, tm_sec=0, tm_wday=0, tm_yday=33, tm_isdst=0)
4. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=29, tm_hour=5, tm_min=58, tm_sec=0, tm_wday=3, tm_yday=29, tm_isdst=0)
5. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=29, tm_hour=3, tm_min=39, tm_sec=0, tm_wday=3, tm_yday=29, tm_isdst=0)
6. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=24, tm_hour=0, tm_min=50, tm_sec=0, tm_wday=5, tm_yday=24, tm_isdst=0)
7. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=23, tm_hour=7, tm_min=18, tm_sec=0, tm_wday=4, tm_yday=23, tm_isdst=0)
8. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=22, tm_hour=4, tm_min=17, tm_sec=0, tm_wday=3, tm_yday=22, tm_isdst=0)
9. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=22, tm_hour=2, tm_min=13, tm_sec=0, tm_wday=3, tm_yday=22, tm_isdst=0)
10. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=16, tm_hour=8, tm_min=12, tm_sec=52, tm_wday=4, tm_yday=16, tm_isdst=0)
11. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=15, tm_hour=5, tm_min=44, tm_sec=0, tm_wday=3, tm_yday=15, tm_isdst=0)
12. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=15, tm_hour=5, tm_min=43, tm_sec=0, tm_wday=3, tm_yday=15, tm_isdst=0)
13. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=14, tm_hour=2, tm_min=18, tm_sec=0, tm_wday=2, tm_yday=14, tm_isdst=0)
14. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=14, tm_hour=0, tm_min=41, tm_sec=0, tm_wday=2, tm_yday=14, tm_isdst=0)
15. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=12, tm_hour=2, tm_min=3, tm_sec=0, tm_wday=0, tm_yday=12, tm_isdst=0)
16. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=10, tm_hour=4, tm_min=18, tm_sec=0, tm_wday=5, tm_yday=10, tm_isdst=0)
17. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=9, tm_hour=6, tm_min=57, tm_sec=0, tm_wday=4, tm_yday=9, tm_isdst=0)
18. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=6, tm_hour=7, tm_min=3, tm_sec=0, tm_wday=1, tm_yday=6, tm_isdst=0)
19. time.struct_time(tm_year=2026, tm_mon=1, tm_mday=4, tm_hour=4, tm_min=45, tm_sec=0, tm_wday=6, tm_yday=4, tm_isdst=0)
